Tag;Datum;Uhrzeit;Team (H);Team (A);Tore (H);Tore (A);HZ-Tore (H);HZ-Tore (A);;;;;;;;;;;;;;;;;;;;;;;;
Sa;19630824;17:00;Eintracht Frankfurt;1. FC Kaiserslautern;1;1;1;1;0'1;38;1'1;40;;;;;;;;;;;;;;;;;;;;
Sa;19630824;17:00;1860 München;Eintracht Braunschweig;1;1;1;0;1'0;17;1'1;74;;;;;;;;;;;;;;;;;;;;
Sa;19630824;17:00;Preußen Münster;Hamburger SV;1;1;0;0;1'0;70;1'1;86;;;;;;;;;;;;;;;;;;;;
Sa;19630824;17:00;1. FC Saarbrücken;1. FC Köln;0;2;0;2;0'1;22;0'2;43;;;;;;;;;;;;;;;;;;;;
Sa;19630824;17:00;Karlsruher SC;MSV Duisburg;1;4;0;3;0'1;29;0'2;33;0'3;37;1'3;83;1'4;88;;;;;;;;;;;;;;
Sa;19630824;17:00;FC Schalke 04;VfB Stuttgart;2;0;2;0;1'0;37;2'0;42;;;;;;;;;;;;;;;;;;;;
Sa;19630824;17:00;Hertha BSC;1. FC Nürnberg;1;1;0;1;0'1;40;1'1;63;;;;;;;;;;;;;;;;;;;;
Sa;19630824;17:00;Werder Bremen;Borussia Dortmund;3;2;1;1;0'1;1;1'1;34;2'1;46;3'1;50;3'2;90;;;;;;;;;;;;;;
Sa;19630831;17:00;MSV Duisburg;Eintracht Frankfurt;3;1;2;0;1'0;6;2'0;43;3'0;57;3'1;62;;;;;;;;;;;;;;;;
Sa;19630831;17:00;Eintracht Braunschweig;Preußen Münster;1;0;1;0;1'0;15;;;;;;;;;;;;;;;;;;;;;;
Sa;19630831;17:00;Hamburger SV;1. FC Saarbrücken;4;2;1;2;0'1;29;0'2;37;1'2;45;2'2;55;3'2;70;4'2;78;;;;;;;;;;;;
Sa;19630831;17:00;1. FC Köln;Karlsruher SC;4;0;2;0;1'0;10;2'0;16;3'0;68;4'0;77;;;;;;;;;;;;;;;;
Sa;19630831;17:00;1. FC Kaiserslautern;FC Schalke 04;2;3;1;1;0'1;4;1'1;28;1'2;58;1'3;69;2'3;87;;;;;;;;;;;;;;
Sa;19630831;17:00;VfB Stuttgart;Hertha BSC;2;0;2;0;1'0;8;2'0;30;;;;;;;;;;;;;;;;;;;;
Sa;19630831;17:00;1. FC Nürnberg;Werder Bremen;3;0;2;0;1'0;41;2'0;45;3'0;74;;;;;;;;;;;;;;;;;;
Sa;19630831;17:00;Borussia Dortmund;1860 München;3;3;2;1;0'1;8;1'1;16;2'1;27;2'2;49;2'3;63;3'3;80;;;;;;;;;;;;
Sa;19630907;16:30;Eintracht Frankfurt;1. FC Nürnberg;2;3;1;1;1'0;8;1'1;14;1'2;46;1'3;77;2'3;82;;;;;;;;;;;;;;
Sa;19630907;16:30;1860 München;1. FC Köln;1;3;0;0;0'1;48;1'1;55;1'2;66;1'3;77;;;;;;;;;;;;;;;;
Sa;19630907;16:30;Preußen Münster;MSV Duisburg;4;2;2;0;1'0;17;2'0;30;3'0;52;4'0;72;4'1;85;4'2;89;;;;;;;;;;;;
Sa;19630907;16:30;1. FC Saarbrücken;Eintracht Braunschweig;2;2;0;1;0'1;43;1'1;48;2'1;57;2'2;72;;;;;;;;;;;;;;;;
Sa;19630907;16:30;Karlsruher SC;Hamburger SV;0;4;0;3;0'1;12;0'2;17;0'3;44;0'4;53;;;;;;;;;;;;;;;;
Sa;19630907;16:30;FC Schalke 04;Borussia Dortmund;3;1;1;1;0'1;6;1'1;44;2'1;51;3'1;55;;;;;;;;;;;;;;;;
Sa;19630907;16:30;Hertha BSC;1. FC Kaiserslautern;2;2;0;2;0'1;13;0'2;36;1'2;73;2'2;79;;;;;;;;;;;;;;;;
Sa;19630907;16:30;Werder Bremen;VfB Stuttgart;2;2;1;2;1'0;2;1'1;10;1'2;11;2'2;63;;;;;;;;;;;;;;;;
Sa;19630914;16:30;MSV Duisburg;Hertha BSC;1;3;0;1;0'1;15;0'2;73;1'2;75;1'3;83;;;;;;;;;;;;;;;;
Sa;19630914;16:30;Eintracht Braunschweig;Karlsruher SC;2;0;1;0;1'0;37;2'0;68;;;;;;;;;;;;;;;;;;;;
Sa;19630914;16:30;Hamburger SV;Eintracht Frankfurt;3;0;1;0;1'0;3;2'0;53;3'0;57;;;;;;;;;;;;;;;;;;
Sa;19630914;16:30;1. FC Köln;FC Schalke 04;2;2;1;2;1'0;1;1'1;5;1'2;32;2'2;68;;;;;;;;;;;;;;;;
Sa;19630914;16:30;1. FC Kaiserslautern;Werder Bremen;3;0;1;0;1'0;27;2'0;63;3'0;84;;;;;;;;;;;;;;;;;;
Sa;19630914;16:30;VfB Stuttgart;1860 München;1;1;1;1;0'1;17;1'1;24;;;;;;;;;;;;;;;;;;;;
Sa;19630914;16:30;1. FC Nürnberg;Preußen Münster;2;2;1;2;1'0;2;1'1;32;1'2;37;2'2;54;;;;;;;;;;;;;;;;
Sa;19630914;16:30;Borussia Dortmund;1. FC Saarbrücken;2;1;0;1;0'1;18;1'1;78;2'1;82;;;;;;;;;;;;;;;;;;
Sa;19630921;16:30;Eintracht Frankfurt;Eintracht Braunschweig;3;0;2;0;1'0;8;2'0;29;3'0;87;;;;;;;;;;;;;;;;;;
Sa;19630921;16:30;1860 München;1. FC Kaiserslautern;3;0;0;0;1'0;50;2'0;63;3'0;76;;;;;;;;;;;;;;;;;;
Sa;19630921;16:30;Preußen Münster;VfB Stuttgart;4;2;1;2;0'1;6;0'2;14;1'2;16;2'2;57;3'2;60;4'2;68;;;;;;;;;;;;
Sa;19630921;16:30;1. FC Saarbrücken;1. FC Nürnberg;3;5;2;2;1'0;16;2'0;20;2'1;42;2'2;43;2'3;63;3'3;78;3'4;83;3'5;90;;;;;;;;
Sa;19630921;16:30;Karlsruher SC;Borussia Dortmund;1;3;0;2;0'1;3;0'2;11;1'2;46;1'3;83;;;;;;;;;;;;;;;;
Sa;19630921;16:30;FC Schalke 04;Hamburger SV;1;0;1;0;1'0;26;;;;;;;;;;;;;;;;;;;;;;
Sa;19630921;16:30;Hertha BSC;1. FC Köln;0;3;0;1;0'1;2;0'2;71;0'3;86;;;;;;;;;;;;;;;;;;
Sa;19630921;16:30;Werder Bremen;MSV Duisburg;1;1;0;1;0'1;15;1'1;80;;;;;;;;;;;;;;;;;;;;
Sa;19631005;15:30;MSV Duisburg;1860 München;3;0;1;0;1'0;40;2'0;64;3'0;82;;;;;;;;;;;;;;;;;;
Sa;19631005;15:30;1. FC Köln;Werder Bremen;4;3;0;1;0'1;19;0'2;59;1'2;66;2'2;74;3'2;77;4'2;79;4'3;84;;;;;;;;;;
Sa;19631005;15:30;1. FC Kaiserslautern;Preußen Münster;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19631005;15:30;VfB Stuttgart;1. FC Saarbrücken;3;1;1;0;1'0;12;2'0;60;2'1;71;3'1;89;;;;;;;;;;;;;;;;
Sa;19631005;18:30;1. FC Nürnberg;Karlsruher SC;2;4;2;1;1'0;3;1'1;33;2'1;45;2'2;55;2'3;65;2'4;90;;;;;;;;;;;;
Sa;19631005;19:00;Hamburger SV;Hertha BSC;5;1;1;1;1'0;24;1'1;45;2'1;57;3'1;60;4'1;61;5'1;70;;;;;;;;;;;;
Sa;19631005;20:00;Eintracht Braunschweig;FC Schalke 04;4;3;2;1;1'0;21;2'0;26;2'1;28;3'1;55;3'2;57;4'2;68;4'3;73;;;;;;;;;;
Sa;19631005;20:00;Borussia Dortmund;Eintracht Frankfurt;3;0;3;0;1'0;10;2'0;30;3'0;37;;;;;;;;;;;;;;;;;;
Sa;19631012;15:30;Eintracht Frankfurt;1. FC Köln;2;1;2;1;1'0;20;2'0;33;2'1;41;;;;;;;;;;;;;;;;;;
Sa;19631012;15:30;1860 München;1. FC Nürnberg;5;0;3;0;1'0;1;2'0;27;3'0;43;4'0;46;5'0;55;;;;;;;;;;;;;;
Sa;19631012;15:30;1. FC Saarbrücken;1. FC Kaiserslautern;2;4;2;1;1'0;11;1'1;38;2'1;42;2'2;62;2'3;66;2'4;69;;;;;;;;;;;;
Sa;19631012;15:30;Karlsruher SC;VfB Stuttgart;0;3;0;2;0'1;22;0'2;32;0'3;63;;;;;;;;;;;;;;;;;;
Sa;19631012;15:30;FC Schalke 04;MSV Duisburg;2;2;2;1;1'0;13;1'1;38;2'1;42;2'2;55;;;;;;;;;;;;;;;;
Sa;19631012;15:30;Hertha BSC;Eintracht Braunschweig;1;2;1;2;0'1;34;0'2;36;1'2;44;;;;;;;;;;;;;;;;;;
Sa;19631012;17:00;Werder Bremen;Hamburger SV;4;2;2;1;1'0;10;2'0;14;2'1;25;3'1;47;3'2;55;4'2;79;;;;;;;;;;;;
Sa;19631012;18:00;Preußen Münster;Borussia Dortmund;1;2;1;0;1'0;42;1'1;65;1'2;82;;;;;;;;;;;;;;;;;;
Sa;19631019;15:30;MSV Duisburg;1. FC Saarbrücken;3;1;1;1;0'1;21;1'1;33;2'1;50;3'1;72;;;;;;;;;;;;;;;;
Sa;19631019;15:30;Eintracht Braunschweig;Werder Bremen;1;1;1;1;1'0;31;1'1;44;;;;;;;;;;;;;;;;;;;;
Sa;19631019;15:30;Hamburger SV;1860 München;5;0;3;0;1'0;19;2'0;22;3'0;38;4'0;72;5'0;76;;;;;;;;;;;;;;
Sa;19631019;15:30;1. FC Köln;Preußen Münster;3;0;1;0;1'0;22;2'0;80;3'0;90;;;;;;;;;;;;;;;;;;
Sa;19631019;15:30;1. FC Kaiserslautern;Karlsruher SC;1;0;0;0;1'0;16;;;;;;;;;;;;;;;;;;;;;;
Sa;19631019;15:30;VfB Stuttgart;Eintracht Frankfurt;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19631019;15:30;1. FC Nürnberg;FC Schalke 04;0;2;0;1;0'1;25;0'2;64;;;;;;;;;;;;;;;;;;;;
Sa;19631019;15:30;Borussia Dortmund;Hertha BSC;7;2;4;1;1'0;16;1'1;21;2'1;22;3'1;29;4'1;44;5'1;52;6'1;60;7'1;85;7'2;88;;;;;;
Sa;19631026;15:30;Hamburger SV;Eintracht Braunschweig;2;1;1;1;1'0;21;1'1;33;2'1;72;;;;;;;;;;;;;;;;;;
Sa;19631026;15:30;1. FC Köln;MSV Duisburg;3;3;1;2;1'0;8;1'1;30;1'2;32;2'2;68;2'3;80;3'3;88;;;;;;;;;;;;
Sa;19631026;15:30;VfB Stuttgart;Borussia Dortmund;2;1;1;0;1'0;12;1'1;61;2'1;80;;;;;;;;;;;;;;;;;;
Sa;19631026;15:30;1. FC Nürnberg;1. FC Kaiserslautern;0;5;0;3;0'1;13;0'2;32;0'3;36;0'4;47;0'5;50;;;;;;;;;;;;;;
Sa;19631026;15:30;Preußen Münster;1860 München;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19631026;15:30;1. FC Saarbrücken;Karlsruher SC;1;3;0;1;0'1;42;0'2;51;0'3;86;1'3;87;;;;;;;;;;;;;;;;
Sa;19631026;15:30;FC Schalke 04;Werder Bremen;2;3;1;1;1'0;20;1'1;31;2'1;54;2'2;79;2'3;87;;;;;;;;;;;;;;
Sa;19631026;15:30;Hertha BSC;Eintracht Frankfurt;1;3;1;0;1'0;36;1'1;53;1'2;60;1'3;85;;;;;;;;;;;;;;;;
Sa;19631109;14:30;MSV Duisburg;Hamburger SV;4;0;0;0;1'0;58;2'0;61;3'0;67;4'0;70;;;;;;;;;;;;;;;;
Sa;19631109;14:30;Eintracht Braunschweig;1. FC Köln;1;1;1;1;1'0;2;1'1;45;;;;;;;;;;;;;;;;;;;;
Sa;19631109;14:30;1. FC Kaiserslautern;VfB Stuttgart;1;3;1;2;1'0;19;1'1;20;1'2;31;1'3;80;;;;;;;;;;;;;;;;
Sa;19631109;14:30;Karlsruher SC;Preußen Münster;4;2;4;1;1'0;8;2'0;9;2'1;12;3'1;41;4'1;44;4'2;56;;;;;;;;;;;;
Sa;19631109;17:00;Eintracht Frankfurt;FC Schalke 04;4;2;1;1;0'1;7;1'1;45;2'1;55;3'1;58;4'1;73;4'2;74;;;;;;;;;;;;
Sa;19631109;17:00;1860 München;1. FC Saarbrücken;7;1;1;1;0'1;37;1'1;42;2'1;65;3'1;66;4'1;72;5'1;75;6'1;78;7'1;84;;;;;;;;
Sa;19631109;17:00;Werder Bremen;Hertha BSC;2;2;1;0;1'0;22;1'1;64;2'1;76;2'2;85;;;;;;;;;;;;;;;;
Sa;19631109;19:00;Borussia Dortmund;1. FC Nürnberg;3;1;1;1;0'1;6;1'1;26;2'1;81;3'1;86;;;;;;;;;;;;;;;;
Sa;19631116;14:30;Eintracht Braunschweig;MSV Duisburg;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19631116;14:30;1. FC Köln;Hamburger SV;4;1;1;1;0'1;18;1'1;24;2'1;52;3'1;55;4'1;74;;;;;;;;;;;;;;
Sa;19631116;14:30;VfB Stuttgart;1. FC Nürnberg;1;0;1;0;1'0;37;;;;;;;;;;;;;;;;;;;;;;
Sa;19631116;14:30;1. FC Saarbrücken;Preußen Münster;1;1;1;1;0'1;18;1'1;38;;;;;;;;;;;;;;;;;;;;
Sa;19631116;17:00;1860 München;Karlsruher SC;1;0;0;0;1'0;89;;;;;;;;;;;;;;;;;;;;;;
Sa;19631116;17:00;Werder Bremen;Eintracht Frankfurt;4;1;2;1;1'0;5;1'1;19;2'1;44;3'1;48;4'1;78;;;;;;;;;;;;;;
Sa;19631116;17:30;Borussia Dortmund;1. FC Kaiserslautern;9;3;5;1;1'0;8;2'0;17;3'0;18;4'0;28;4'1;35;5'1;44;6'1;56;6'2;58;6'3;61;7'3;66;8'3;74;9'3;85
Sa;19631116;19:00;FC Schalke 04;Hertha BSC;1;0;0;0;1'0;52;;;;;;;;;;;;;;;;;;;;;;
Sa;19631123;14:30;MSV Duisburg;Borussia Dortmund;3;3;1;3;0'1;4;0'2;20;1'2;23;1'3;32;2'3;52;3'3;76;;;;;;;;;;;;
Sa;19631123;14:30;1. FC Kaiserslautern;Eintracht Braunschweig;2;1;1;0;1'0;41;2'0;63;2'1;70;;;;;;;;;;;;;;;;;;
Sa;19631123;14:30;Hamburger SV;VfB Stuttgart;1;1;0;1;0'1;5;1'1;52;;;;;;;;;;;;;;;;;;;;
Sa;19631123;14:30;1. FC Nürnberg;1. FC Köln;2;2;2;1;0'1;4;1'1;12;2'1;32;2'2;67;;;;;;;;;;;;;;;;
Sa;19631123;14:30;Karlsruher SC;Werder Bremen;1;1;1;0;1'0;9;1'1;55;;;;;;;;;;;;;;;;;;;;
